YEAR,STATE,EVENT,COUNT,FATALITIES,INJURIES,PROPDMG,CROPDMG
1995,alaska,Cold Weather,16,0,0,0,0
1995,alaska,Excessive Heat,12,0,0,0,0
1995,alaska,Flood,3,0,0,10.00002,0
1995,alaska,High Seas,2,7,5,0,0
1995,alaska,Landslide,1,0,0,0.005,0
1995,alaska,Rain & Fog,1,0,0,0,0
1995,alaska,Wind & Storm,113,0,0,7.53,0.01
1995,alabama,Cold Weather,7,3,0,0,0
1995,alabama,Excessive Heat,6,5,0,0,400
1995,alabama,Flood,16,1,0,5.373,0.055
1995,alabama,High Seas,1,1,0,0,0
1995,alabama,Rain & Fog,209,1,75,2.0623,0
1995,alabama,Thunder & Lightning,51,4,5,1.466,0
1995,alabama,Tornado,61,7,215,13.102,0.0065
1995,alabama,Wind & Storm,372,5,10,198.1346,25.0255
1995,arkansas,Cold Weather,5,1,0,0,0
1995,arkansas,Excessive Heat,8,9,0,0,0
1995,arkansas,Flood,32,0,0,0,0
1995,arkansas,Rain & Fog,454,0,10,0.2712,1.06
1995,arkansas,Thunder & Lightning,22,0,3,5.155,0
1995,arkansas,Tornado,26,2,9,0.419,0
1995,arkansas,Wind & Storm,485,0,3,4.15805,0
1995,arizona,Cold Weather,5,2,0,0.05,0
1995,arizona,Dust Storm,1,0,0,0.02,0
1995,arizona,Excessive Heat,1,0,0,0,0
1995,arizona,Flood,35,1,0,3.6175,0
1995,arizona,Rain & Fog,31,1,3,5.1,0
1995,arizona,Thunder & Lightning,9,1,17,0.006,0
1995,arizona,Tornado,15,0,0,0.2,0
1995,arizona,Wind & Storm,90,10,47,9.8695,0
1995,california,Cold Weather,4,0,0,0,0
1995,california,Flood,53,8,2,147.040002,380.4
1995,california,High Seas,1,0,1,0,0
1995,california,Rain & Fog,19,0,45,0,0
1995,california,Thunder & Lightning,2,0,2,0,0
1995,california,Tornado,7,0,0,0.3,0
1995,california,Wind & Storm,71,3,16,94.05200041,197.5
1995,california,NA,1,0,0,0,0
1995,colorado,Cold Weather,45,3,4,0.0050017,6
1995,colorado,Flood,17,0,0,18.24,0
1995,colorado,Rain & Fog,233,0,1,0.50653,25.503
1995,colorado,Thunder & Lightning,44,4,29,0.010571,0
1995,colorado,Tornado,93,0,0,0.364,0.0025
1995,colorado,Wind & Storm,126,0,7,0.3415,0
1995,connecticut,Cold Weather,10,0,0,0,0
1995,connecticut,Excessive Heat,2,0,0,0,0
1995,connecticut,Flood,13,0,0,0.03,0
1995,connecticut,Rain & Fog,30,0,0,0.2000307,0
1995,connecticut,Thunder & Lightning,10,0,1,0.2,0
1995,connecticut,Tornado,3,0,0,0.06,0
1995,connecticut,Wind & Storm,77,1,2,1.0320501,0
1995,NA,Cold Weather,3,0,0,0,0
1995,NA,Excessive Heat,2,14,0,0,0
1995,NA,Wind & Storm,1,0,0,0.1,0
1995,delaware,Cold Weather,7,0,0,0,0
1995,delaware,Excessive Heat,2,0,0,0,0
1995,delaware,Flood,4,0,0,0,0
1995,delaware,High Seas,11,2,0,0,0
1995,delaware,Rain & Fog,3,0,0,0,0
1995,delaware,Thunder & Lightning,2,0,1,0,0
1995,delaware,Tornado,2,0,0,0.001,0
1995,delaware,Wind & Storm,11,1,0,1.003,0
1995,florida,Cold Weather,1,0,0,0,0
1995,florida,Excessive Heat,1,1,0,0,0
1995,florida,Flood,75,0,0,34.0308,91.015
1995,florida,High Seas,22,15,17,0,0
1995,florida,Rain & Fog,106,0,2,0.0711,0.001
1995,florida,Thunder & Lightning,58,12,50,0.70255,0.025
1995,florida,Tornado,241,3,64,9.52305,0.011
1995,florida,Wind & Storm,342,10,16,3353.72665,156.057
1995,georgia,Cold Weather,1,0,0,0,0
1995,georgia,Excessive Heat,2,3,0,0,0
1995,georgia,Flood,35,0,0,4.02,0.014
1995,georgia,Rain & Fog,136,0,0,0.759,2.00E-05
1995,georgia,Thunder & Lightning,24,1,17,0.686205,0
1995,georgia,Tornado,22,4,292,12.094,0
1995,georgia,Wind & Storm,424,11,32,85.248687,50.067
1995,hawaii,Cold Weather,1,0,0,0,0
1995,hawaii,Excessive Heat,4,0,0,0,0
1995,hawaii,Fire and Volcano,1,0,0,0,0
1995,hawaii,Flood,15,11,5,1.19,0.185
1995,hawaii,Thunder & Lightning,2,0,2,0,0
